Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Miscellaneous,Obesity,Undernourished
Peru,0.2423,26.4456,18.8078,1.5493,4.6541,33.4842,3.4173,0,11.3994,0.0064,0,1.5684,1.7469,3.685,0.0446,3.634,0.5802,0.0446,0.0128,0.0765,19.1,9.7
Philippines,0.1914,30.1771,23.277,1.0211,6.6369,32.7537,1.6273,0.0319,4.2836,0.3191,0,1.2444,0.694,0.6063,0.0798,0.6142,0.4068,0.2632,0,0.0558,6,13.3
Poland,0.7325,42.6146,16.5268,1.0235,2.6777,25.3699,6.8785,0,4.1767,0.5045,0,0.0728,0.2619,0.5918,0.0534,2.1635,0.3056,0.1601,0.0631,0,25.6,<2.5
Portugal,0.2926,46.4518,11.8389,1.166,6.7383,21.0359,7.8606,0.0044,4.6115,0.3581,0,0.9389,0.1528,0.8472,0.0437,1.2402,0.6201,0.3275,0.0393,0.0437,23.2,<2.5
Republic of Moldova,0.3236,34.283,20.4719,1.8388,2.557,28.0089,9.0285,0,3.4883,0.2052,0,0.7182,0.1026,0.363,0.0158,1.5784,0.2525,0.0316,0.0158,0.2052,20.1,NA
Romania,0.5856,34.3,17.4756,2.0943,0.7871,28.9074,10.9445,0.0141,4.8913,0.0656,0,0.7777,0.253,0.595,0.417,2.0287,0.417,0.1921,0.0187,0.1265,24.5,<2.5
Russian Federation,0.3436,39.9911,16.2085,2.3071,3.2496,24.6368,8.1632,0.0049,5.0952,0.0834,0,0.9817,0.3682,0.7559,0.0344,2.4102,0.3534,0.0393,0.0245,0.0442,25.7,<2.5
Rwanda,0.5486,10.3899,9.2421,0.0928,2.1185,47.3497,1.6796,0,28.5785,0.0084,0,0.4895,2.0594,18.2478,0.0675,7.6384,0.0506,0,0,0.0169,4.8,36.8
Saint Kitts and Nevis,0.3183,51.6791,10.9516,0.7795,5.177,19.6817,5.151,0,6.2618,0.1104,0,1.1432,0.8639,2.28,0.1884,0.708,0.1234,0.2079,0.0585,0.5781,23.1,NA
Saint Lucia,0.3355,48.2098,12.7653,0.5784,5.437,21.505,4.795,0,6.3739,0.0578,0,1.3072,0.856,2.3367,0.3297,0.6709,0.2082,0.1504,0.0463,0.4107,19.8,NA
Saint Vincent and the Grenadines,0.1677,45.0632,14.0613,0.738,2.9408,25.657,4.8362,0,6.5359,0.028,0,0.6094,0.5591,2.8682,0.3075,1.1741,0.3522,0.1118,0.028,0.4976,23.8,5.7
Samoa,0.1866,50.2974,8.4665,0.4023,7.3761,21.3236,2.793,0.0058,9.1486,0.1341,0.1341,0.6822,3.5918,0,0.1574,3.586,0.5248,0.0292,0.0058,0.3032,45.5,2.7
Sao Tome and Principe,0.0672,20.2017,22.1614,0.1921,8.3285,40.0289,1.5178,0,7.5023,0.0576,0,0.1153,3.1412,2.2094,0.0576,1.6523,0.0288,0.0096,0.0192,0.2113,10.6,7
