Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
Iran (Islamic Republic of),0,8.1571,26.2179,0.4647,0.3686,48.782,1.2179,4.5513,10.2405,1.3782,0,0,0.0962,0.1122,1.0897,0.1282,1.6346,0.0481,1.2821,4.4712,25.5,4.9
Iraq,0.0997,5.6232,29.7308,0.7378,0.1196,47.9561,0.8774,4.7059,10.1495,0.9372,0,0.1196,0.0199,0.2991,0.6979,0.0399,0.339,0.2592,0.1994,7.2383,27.4,29
Ireland,3.2284,19.1149,14.4471,0.4977,0.7398,39.1041,4.5601,6.0533,12.2543,2.9997,0,0.0807,0.1211,0.3901,0.3228,0.0807,1.7487,0.7129,0.3497,5.4479,26.9,<2.5
Israel,0.6267,17.291,15.297,0.5555,0.6409,42.6292,4.0023,3.6177,15.3396,0.5127,0,0.0997,0.1424,1.581,0.8688,0.0712,1.0255,0.4985,0.6552,9.8846,26.7,<2.5
Italy,1.4624,17.5778,16.2999,0.6389,0.7951,40.6361,3.9188,4.4299,14.2411,2.1014,0,0.1136,0.0994,0.213,0.6957,0.0142,0.9655,0.1562,0.7099,9.1722,22.9,<2.5
Jamaica,1.3423,13.3684,16.1255,0.127,0.8707,44.1501,2.8297,9.269,11.9175,1.5781,0,0.2902,0.1451,1.0521,0.5079,0.8163,2.739,0.1633,0.0363,4.5892,24.4,8
Japan,2.4472,13.8116,19.6329,1.4461,2.3174,41.9911,2.0393,4.5606,11.7537,0.5562,0.0185,0.0742,0.1298,2.0022,0.2595,0.2039,1.1123,0.4079,0.241,6.7482,4.4,<2.5
Jordan,0.0553,8.972,22.0892,0.2395,0.2211,46.3706,2.1002,6.9823,12.9696,0.5527,0,0.1105,0.0737,0.9211,1.1238,0.0921,0.8106,0.3316,0.35,8.6035,33.4,12.2
Kazakhstan,1.5175,19.2115,14.6746,0.5163,0.1408,39.3773,6.9775,4.1302,13.4543,1.1264,0,0.1408,0.2503,0.2972,0.0782,0.0313,2.9568,0.485,0.3442,7.7441,21.3,<2.5
Kenya,0.6828,7.7938,26.3951,0.0942,0.1648,46.1031,3.2494,3.6732,11.8436,0.3532,0,0,0.1413,0.4003,3.5555,0.0235,3.8615,0.0706,0.1413,3.2964,6,29.4
Kiribati,0.1145,8.6387,16.9993,0.1309,2.6014,46.4823,0.2781,7.9188,16.8358,0.2291,0,0.1145,0.0164,10.2912,0,0.0164,3.6649,0.0164,0.2945,2.1924,45.6,2.7
Korea North,1.4282,5.1711,29.9926,0.4432,0.4186,50.6279,0.1477,0.8619,10.9086,0,0,0.0246,0.0492,0.5171,2.4871,0,3.2012,0,0.0492,4.5802,7.1,47.8
Korea South,2.0481,13.9804,20.5847,0.6085,1.6325,44.2416,0.653,5.2983,10.9529,1.2318,0.4007,0,0.1633,1.0834,0.1633,0.0594,0.564,0.1187,0.4749,6.6934,4.9,<2.5
Kuwait,0,13.3382,20.4209,1.016,0.3048,45.0798,2.9753,6.1393,10.7258,0.5806,0,0.3193,0.1306,0.4644,0.8273,0.3774,1.2337,0.6096,0.4209,5.762,37,2.8
Kyrgyzstan,0.7328,14.0662,22.8776,0.286,0.0536,42.413,6.5773,4.3968,8.597,0.7507,0,0.0894,0.2324,0.0179,0.9294,0.0536,3.092,0.6077,0.3932,2.4307,15.4,7.1
Lao People's Democratic Republic,1.1323,7.7781,29.488,0.1149,0.7877,51.4112,0.1477,1.9856,7.1546,0.6072,0,0.1313,0.1313,1.1815,0.4102,0.3446,2.4614,0.4102,0.0164,1.4605,4.5,16.5
Latvia,3.0614,20.3093,14.7546,0.7417,0.8364,37.1153,4.9235,4.0713,14.1864,3.8504,0,0.1262,0.1578,0.284,0.0158,0.0316,3.5821,0.9626,0.3787,4.7972,25.7,<2.5
Lebanon,0.3473,7.5374,21.3268,0.1389,0.2779,48.2286,2.1709,6.6342,13.3379,0.6078,0,0.1563,0.0521,0.9899,1.042,0.0868,1.4415,0.3821,1.0247,7.5547,31.3,11
